Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
MATERNELLES (année scolaire 2017/2018);MARTEL (9) MAT;9 rue MARTEL;10ème Ardt;75110;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.352914623438497, 48.87397516967916]}";48.8739751697,2.35291462344
MATERNELLES (année scolaire 2021/2022);ST DIDIER (15B) POLY;15 bis RUE SAINT DIDIER;16ème Ardt;75116;2021-2022;Polyvalent;"{""type"": ""Point"", ""coordinates"": [2.287603099939644, 48.86614055402536]}";48.866140554,2.28760309994
MATERNELLES (année scolaire 2017/2018);JONGKIND (3) MAT;3 rue JONGKIND;15ème Ardt;75115;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.279612997916605, 48.83926395411839]}";48.8392639541,2.27961299792
MATERNELLES (année scolaire 2021/2022);BEAUREGARD (5) POLY;5 RUE BEAUREGARD;2ème Ardt;75102;2021-2022;Polyvalent;"{""type"": ""Point"", ""coordinates"": [2.348337628429132, 48.869270241199686]}";48.8692702412,2.34833762843
MATERNELLES (année scolaire 2017/2018);MERLIN (14) MAT;14 rue MERLIN;11ème Ardt;75111;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.385842601956083, 48.860003022737736]}";48.8600030227,2.38584260196
MATERNELLES (année scolaire 2021/2022);GAMBETTA (29) MAT;29 AVENUE GAMBETTA;20ème Ardt;75120;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.391827337124257, 48.864093765386286]}";48.8640937654,2.39182733712
MATERNELLES (année scolaire 2017/2018);PARMENTIER (155) MAT;155 avenue PARMENTIER;10ème Ardt;75110;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.369713874206682, 48.871546806742536]}";48.8715468067,2.36971387421
MATERNELLES (année scolaire 2021/2022);BRETONNEAU (12) MAT;12 RUE BRETONNEAU;20ème Ardt;75120;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.403113236197998, 48.86755614029837]}";48.8675561403,2.4031132362
MATERNELLES (année scolaire 2017/2018);ARNOLD NETTER (42) MAT;42 AVENUE DU DOCTEUR ARNOLD NETTER;12ème Ardt;75112;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.405622600529899, 48.843690262279196]}";48.8436902623,2.40562260053
MATERNELLES (année scolaire 2021/2022);CHOMEL (8) POLY;8 RUE CHOMEL;7ème Ardt;75107;2021-2022;Polyvalent;"{""type"": ""Point"", ""coordinates"": [2.32554947454451, 48.85217391881049]}";48.8521739188,2.32554947454
MATERNELLES (année scolaire 2018/2019);REUILLY (59) MAT;59 RUE DE REUILLY;12ème Ardt;75112;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.388686477222781, 48.84567811752369]}";48.8456781175,2.38868647722
